coddoc,edad,estciv,educacion,mora,balance,vivienda,prestamo,dia,duracion,campana,pdias,previo,Adq_Ahorro
CODDOC0742,28,single,secundaria,no,1633,no,no,5,275,1,-1,0,1
CODDOC0752,46,married,secundaria,no,3098,si,no,21,192,9,-1,0,0
CODDOC0753,31,married,primaria,no,352,si,no,19,97,9,-1,0,0
CODDOC0755,35,married,secundaria,no,1949,si,no,2,200,3,-1,0,0
CODDOC0756,32,single,secundaria,no,739,si,no,20,91,3,-1,0,0
CODDOC0759,40,married,primaria,no,1136,si,no,21,86,1,-1,0,0
CODDOC0760,42,married,terciario,no,233,no,no,5,446,1,-1,0,0
CODDOC0765,28,married,secundaria,no,0,si,no,5,335,2,281,8,0
CODDOC0766,37,divorced,secundaria,no,414,no,no,29,293,2,162,4,0
CODDOC0767,57,married,primaria,no,1052,si,no,13,227,4,-1,0,0
CODDOC0769,55,married,primaria,no,343,si,no,14,276,3,-1,0,0
CODDOC0770,52,married,terciario,no,1944,si,no,15,238,3,323,2,0
CODDOC0771,26,single,secundaria,no,-32,si,si,31,14,6,-1,0,0
CODDOC0773,26,single,terciario,no,350,no,no,8,367,1,-1,0,0
CODDOC0774,33,married,secundaria,no,2,si,no,16,132,1,-1,0,0
CODDOC0775,24,single,primaria,no,111,si,si,27,42,4,-1,0,0
CODDOC0776,37,divorced,terciario,no,168,si,no,5,227,1,-1,0,0
CODDOC0777,28,single,secundaria,no,3,no,no,18,40,8,349,6,0
CODDOC0778,30,single,secundaria,no,102,si,no,7,614,2,-1,0,0
CODDOC0779,33,married,primaria,no,0,si,no,15,270,1,-1,0,0
CODDOC0780,55,married,primaria,no,159,no,no,4,15,1,-1,0,0
CODDOC0782,42,married,secundaria,no,352,si,no,11,79,3,-1,0,0
CODDOC0783,37,married,terciario,no,865,si,no,3,101,1,-1,0,0
CODDOC0784,59,married,primaria,no,179,si,no,5,55,3,-1,0,0
CODDOC0785,27,single,secundaria,no,5,si,no,19,205,3,-1,0,0
CODDOC0786,23,married,terciario,si,-230,si,no,18,259,2,-1,0,0
CODDOC0795,29,single,secundaria,no,908,si,no,20,1663,1,-1,0,1
CODDOC0798,58,married,secundaria,no,111,no,no,24,58,2,-1,0,0
CODDOC0799,34,single,desconocido,no,1281,no,no,25,279,1,117,1,0
CODDOC0803,40,married,secundaria,no,643,si,no,17,74,2,256,1,0
CODDOC0804,57,single,secundaria,no,254,no,no,8,676,1,-1,0,0
CODDOC0807,53,divorced,desconocido,no,629,si,no,8,298,1,-1,0,0
CODDOC0808,48,married,secundaria,no,-202,si,si,30,225,4,-1,0,0
CODDOC0810,34,married,terciario,no,703,si,no,14,342,1,-1,0,1
CODDOC0811,46,married,secundaria,no,-216,si,no,28,404,3,-1,0,0
CODDOC0812,45,divorced,secundaria,no,88,no,si,7,332,1,-1,0,0
CODDOC0813,51,single,terciario,no,16,si,no,30,158,1,-1,0,0
CODDOC0816,32,married,secundaria,no,456,no,no,12,121,1,-1,0,0
CODDOC0821,50,married,secundaria,si,421,no,no,20,22,5,-1,0,0
CODDOC0822,31,single,terciario,no,112,si,no,2,159,2,271,1,0
CODDOC0824,43,married,terciario,no,1429,si,no,19,1015,1,198,2,1
CODDOC0831,42,single,terciario,no,0,no,no,7,99,1,-1,0,0
CODDOC0832,47,married,secundaria,no,1996,no,no,5,761,2,-1,0,1
CODDOC0834,38,married,secundaria,no,3190,si,no,20,20,2,-1,0,0
CODDOC0835,50,married,secundaria,no,1772,no,no,29,206,4,-1,0,0
CODDOC0836,27,single,secundaria,no,-151,no,no,8,283,2,-1,0,0
CODDOC0837,55,married,primaria,no,16,no,no,20,64,1,-1,0,0
CODDOC0838,39,single,secundaria,no,7066,si,no,15,667,3,357,3,1
CODDOC0840,37,married,terciario,no,4798,si,no,20,156,2,-1,0,0
CODDOC0842,42,married,secundaria,no,439,no,no,20,143,2,-1,0,0
CODDOC0843,40,divorced,secundaria,no,1927,si,no,15,62,1,-1,0,0
CODDOC0849,41,married,secundaria,no,4900,si,no,31,121,2,-1,0,0
CODDOC0851,33,married,terciario,no,148,no,no,20,717,1,-1,0,0
CODDOC0852,46,married,secundaria,no,5,no,no,18,71,3,-1,0,0
CODDOC0853,36,married,secundaria,no,-148,no,no,18,144,2,-1,0,0
CODDOC0854,48,divorced,terciario,no,113,no,si,22,38,1,-1,0,0
CODDOC0861,58,married,primaria,no,309,no,no,19,156,2,-1,0,0
CODDOC0863,41,single,secundaria,no,1020,si,no,19,882,1,-1,0,1
CODDOC0864,49,married,primaria,no,489,si,no,27,84,4,-1,0,0
CODDOC0866,32,single,secundaria,no,-255,no,si,2,957,3,-1,0,0
CODDOC0868,33,divorced,primaria,no,636,si,no,9,211,11,-1,0,0
CODDOC0869,35,married,secundaria,no,141,si,no,19,299,2,-1,0,0
CODDOC0870,56,married,secundaria,no,150,si,si,11,102,6,349,1,0
CODDOC0872,31,single,primaria,no,26965,no,no,21,654,2,-1,0,1
CODDOC0874,29,single,terciario,no,2485,no,no,24,48,6,-1,0,0
CODDOC0877,33,married,terciario,no,595,no,no,7,22,2,-1,0,0
CODDOC0878,30,single,terciario,no,19358,no,no,19,258,2,-1,0,0
CODDOC0879,31,single,secundaria,no,203,no,si,19,177,1,-1,0,0
CODDOC0885,48,married,primaria,no,606,no,no,5,77,6,-1,0,0
CODDOC0887,60,married,primaria,no,65,si,no,9,1028,2,-1,0,1
CODDOC0888,41,married,secundaria,no,338,si,no,14,87,1,-1,0,0
CODDOC0890,36,married,terciario,no,9269,si,si,19,107,2,-1,0,0
CODDOC0893,27,single,terciario,no,5291,no,no,12,192,2,92,2,1
CODDOC0894,49,single,secundaria,no,61,si,no,29,185,2,246,1,0
CODDOC0895,37,married,terciario,no,0,si,no,17,77,1,-1,0,0
CODDOC0897,31,single,secundaria,si,25,no,no,2,381,1,-1,0,0
CODDOC0898,31,married,secundaria,no,1354,si,si,17,222,2,-1,0,0
CODDOC0899,35,married,primaria,no,793,si,no,17,106,1,-1,0,0
CODDOC0900,51,divorced,desconocido,no,10287,si,no,29,117,1,-1,0,0
CODDOC0905,45,married,terciario,no,-459,no,no,21,508,6,-1,0,0
CODDOC0906,28,single,secundaria,no,198,no,no,5,128,2,-1,0,1
CODDOC0913,43,single,terciario,no,1017,si,no,19,257,2,-1,0,0
CODDOC0916,33,married,secundaria,no,4040,si,no,20,132,2,-1,0,0
CODDOC0917,36,married,secundaria,no,13,no,no,3,284,1,-1,0,0
CODDOC0920,25,married,secundaria,no,-76,si,no,12,241,3,-1,0,0
CODDOC0922,34,married,terciario,no,136,si,no,22,156,1,-1,0,0
CODDOC0925,45,married,primaria,no,7353,no,no,13,536,2,-1,0,0
CODDOC0926,33,married,primaria,no,511,si,no,21,304,2,-1,0,0
CODDOC0927,38,married,primaria,no,3913,si,no,20,196,2,315,2,0
CODDOC0928,32,divorced,secundaria,no,1097,si,no,12,298,2,-1,0,0
CODDOC0930,51,divorced,secundaria,no,340,si,no,8,186,1,-1,0,0
CODDOC0932,41,married,secundaria,no,2993,si,no,22,24,12,-1,0,0
CODDOC0933,39,divorced,terciario,no,3575,no,si,18,74,3,-1,0,0
CODDOC0936,46,married,primaria,no,2904,no,no,20,277,2,-1,0,0
CODDOC0937,50,divorced,terciario,no,1790,no,si,6,748,3,-1,0,0
CODDOC0941,34,divorced,desconocido,no,172,no,no,15,177,1,-1,0,1
CODDOC0942,34,married,terciario,no,0,si,no,7,262,1,99,2,1
CODDOC0943,36,married,terciario,no,222,si,no,6,317,1,169,2,0
CODDOC0945,40,married,secundaria,no,1451,no,no,1,314,1,-1,0,1
CODDOC0946,41,married,secundaria,no,1066,no,no,11,109,3,-1,0,1
CODDOC0947,52,married,terciario,no,3163,no,no,25,56,6,-1,0,0
CODDOC0949,48,single,desconocido,no,428,si,no,18,127,1,-1,0,0
CODDOC0950,33,divorced,secundaria,no,106,no,no,20,175,3,-1,0,0
CODDOC0951,44,divorced,secundaria,no,0,no,no,12,56,2,-1,0,0
CODDOC0953,51,married,secundaria,no,2662,no,no,28,148,2,-1,0,0
CODDOC0956,39,single,terciario,no,816,si,no,27,37,3,-1,0,0
CODDOC0957,27,single,secundaria,no,3276,no,no,5,106,1,110,2,0
CODDOC0958,55,divorced,desconocido,no,2,si,no,19,95,1,-1,0,0
CODDOC0959,35,single,secundaria,no,-51,no,no,2,134,2,-1,0,0
CODDOC0960,37,single,terciario,no,3315,si,no,9,820,2,-1,0,0
CODDOC0965,53,divorced,primaria,no,255,no,no,19,126,1,-1,0,0
CODDOC0966,33,single,terciario,no,3143,no,no,29,421,2,-1,0,1
CODDOC0967,47,married,secundaria,no,0,no,no,26,174,8,-1,0,0
CODDOC0968,35,married,secundaria,no,6411,si,si,30,144,1,266,2,0
CODDOC0969,33,single,terciario,no,1909,no,no,8,191,2,-1,0,0
CODDOC0970,55,married,primaria,no,3873,no,no,21,222,1,-1,0,0
CODDOC0971,58,married,primaria,no,1013,si,no,11,206,1,461,1,1
CODDOC0972,44,married,secundaria,no,262,si,no,9,74,1,-1,0,0
CODDOC0973,25,single,secundaria,no,3217,si,no,28,24,1,-1,0,0
CODDOC0977,36,divorced,secundaria,no,1594,no,no,6,250,3,-1,0,0
CODDOC0978,44,married,terciario,no,134,no,no,28,86,4,-1,0,0
CODDOC0979,34,divorced,terciario,no,262,no,no,20,371,1,-1,0,0
CODDOC0983,54,married,secundaria,no,1291,si,no,5,266,1,-1,0,0
CODDOC0984,37,divorced,secundaria,no,79,no,no,21,191,1,-1,0,0
CODDOC0986,58,divorced,secundaria,no,543,no,si,17,264,3,-1,0,0
CODDOC0987,56,divorced,terciario,no,1016,si,no,9,184,5,-1,0,0
CODDOC0991,46,married,terciario,no,964,si,no,8,174,1,-1,0,0
CODDOC0992,37,married,terciario,no,3913,si,no,27,124,1,-1,0,1
CODDOC0993,39,married,primaria,no,879,si,no,26,102,2,-1,0,0
CODDOC0994,31,married,secundaria,no,314,si,no,17,279,1,-1,0,0
CODDOC0995,59,married,primaria,no,0,no,no,27,76,11,-1,0,0
CODDOC0996,38,married,secundaria,no,1370,si,no,11,472,2,-1,0,0
CODDOC0999,40,married,secundaria,no,-342,si,no,26,754,1,-1,0,0
CODDOC1004,34,married,terciario,no,355,si,no,16,261,1,-1,0,0
CODDOC1007,40,married,terciario,no,5,si,no,18,219,3,-1,0,0
CODDOC1011,23,single,secundaria,no,8494,no,no,25,158,2,-1,0,0
CODDOC1013,48,married,secundaria,no,841,si,no,19,215,1,-1,0,0
CODDOC1015,36,married,secundaria,no,470,si,no,31,101,4,-1,0,0
CODDOC1016,43,married,secundaria,no,520,si,no,20,15,13,-1,0,0
CODDOC1019,55,married,secundaria,no,466,no,no,17,287,4,-1,0,0
CODDOC1026,56,married,secundaria,no,1044,no,no,3,353,2,-1,0,1
CODDOC1028,41,single,secundaria,no,231,no,no,9,76,2,-1,0,0
CODDOC1029,31,married,secundaria,no,0,si,si,6,144,2,-1,0,0
CODDOC1033,46,single,primaria,no,538,no,no,17,118,3,-1,0,0
CODDOC1034,29,single,secundaria,no,534,si,no,18,382,1,-1,0,0
CODDOC1038,43,married,terciario,no,2767,si,no,15,317,7,-1,0,0
CODDOC1040,42,single,secundaria,no,9720,no,no,5,81,2,-1,0,0
CODDOC1041,55,divorced,secundaria,no,1613,si,no,3,296,1,270,3,1
CODDOC1042,39,divorced,secundaria,no,2903,si,si,25,259,2,-1,0,0
CODDOC1046,58,married,terciario,no,299,no,no,16,120,4,-1,0,0
CODDOC1050,25,married,secundaria,no,72,si,no,23,305,2,-1,0,0
CODDOC1051,36,married,secundaria,no,0,no,no,20,332,3,-1,0,0
CODDOC1053,30,married,secundaria,no,11,si,no,11,157,1,-1,0,0
CODDOC1056,36,single,terciario,no,3343,no,no,18,307,1,-1,0,0
CODDOC1060,57,married,primaria,no,808,no,no,7,274,1,-1,0,0
CODDOC1064,33,married,primaria,no,1165,si,no,21,420,2,-1,0,0
CODDOC1066,30,married,terciario,no,0,si,no,18,756,1,-1,0,0
CODDOC1067,38,married,secundaria,no,740,no,no,7,259,3,-1,0,0
CODDOC1070,45,single,desconocido,no,7108,si,si,18,53,1,172,3,0
CODDOC1073,36,married,secundaria,no,419,si,no,30,251,1,-1,0,0
CODDOC1074,30,single,terciario,no,726,si,no,16,39,1,342,3,0
CODDOC1077,54,married,secundaria,no,2206,no,no,12,104,1,99,2,1
CODDOC1078,38,married,terciario,no,1988,no,no,27,164,2,130,2,1
CODDOC1079,32,single,terciario,no,0,no,no,7,268,2,-1,0,0
CODDOC1080,50,divorced,secundaria,no,202,no,si,17,148,1,-1,0,0
CODDOC1081,43,married,secundaria,no,667,si,no,7,228,3,-1,0,0
CODDOC1083,57,married,primaria,no,50,no,no,18,89,3,-1,0,0
CODDOC1084,64,married,primaria,no,768,no,no,15,250,2,182,1,0
CODDOC1086,33,married,secundaria,no,661,si,no,18,968,1,-1,0,1
CODDOC1088,47,married,terciario,no,751,no,no,24,408,14,-1,0,0
CODDOC1091,31,single,primaria,no,-502,si,no,29,76,4,-1,0,0
CODDOC1092,50,married,primaria,no,0,no,no,11,72,5,-1,0,0
CODDOC1094,30,single,terciario,no,-218,si,no,27,13,15,-1,0,0
CODDOC1096,36,married,secundaria,no,300,no,no,9,287,1,-1,0,0
CODDOC1099,37,single,secundaria,no,0,no,no,4,69,2,-1,0,0
CODDOC1100,58,married,primaria,no,5278,si,no,4,763,4,-1,0,0
CODDOC1102,28,married,terciario,no,1480,si,no,18,143,1,-1,0,0
CODDOC1104,55,married,desconocido,no,1665,no,no,30,89,2,-1,0,0
CODDOC1106,41,married,terciario,no,2885,no,no,19,40,1,-1,0,0
CODDOC1107,35,married,secundaria,no,137,no,si,4,5,1,808,12,0
CODDOC1108,34,single,secundaria,no,1239,si,no,18,90,1,-1,0,0
CODDOC1109,43,single,terciario,no,146,no,no,21,50,1,113,5,0
CODDOC1113,35,married,secundaria,no,2789,si,no,4,256,2,94,1,0
CODDOC1116,41,married,secundaria,no,5110,si,no,13,231,1,-1,0,0
CODDOC1117,28,married,terciario,no,318,si,no,27,4,4,-1,0,0
CODDOC1118,42,single,terciario,no,-411,si,no,12,78,5,292,3,0
CODDOC1120,28,single,terciario,no,4937,si,no,13,421,3,-1,0,0
CODDOC1121,48,married,secundaria,no,725,no,si,10,105,1,-1,0,0
CODDOC1122,51,married,terciario,no,5403,no,no,6,42,1,-1,0,0
CODDOC1127,77,married,secundaria,no,610,no,no,13,766,3,-1,0,0
CODDOC1132,32,single,secundaria,no,2817,si,no,21,195,1,-1,0,0
CODDOC1133,41,divorced,terciario,no,4567,si,si,16,106,1,-1,0,0
CODDOC1135,34,married,primaria,no,176,no,no,24,78,1,-1,0,0
CODDOC1136,57,married,terciario,no,0,si,si,28,648,1,-1,0,1
CODDOC1137,36,single,secundaria,no,1482,si,no,18,177,2,174,1,0
CODDOC1138,42,married,secundaria,no,3052,si,no,27,32,1,-1,0,0
CODDOC1139,35,divorced,secundaria,no,56,no,no,29,24,12,-1,0,0
CODDOC1141,36,single,terciario,no,3875,si,no,27,21,5,-1,0,0
CODDOC1143,60,divorced,terciario,no,366,no,no,3,593,1,-1,0,1
CODDOC1145,48,married,terciario,no,998,si,no,29,121,3,-1,0,0
CODDOC1146,59,married,primaria,no,0,si,no,28,97,2,-1,0,0
CODDOC1148,44,married,secundaria,no,-182,si,si,14,10,10,-1,0,0
CODDOC1149,27,single,terciario,no,446,no,no,23,205,3,-1,0,0
CODDOC1150,59,married,secundaria,no,1173,no,no,9,77,2,-1,0,0
CODDOC1153,50,married,secundaria,no,0,no,no,4,86,4,-1,0,0
CODDOC1155,47,married,secundaria,no,1934,no,si,14,225,1,364,1,0
CODDOC1157,38,married,secundaria,no,284,si,si,3,1030,6,-1,0,0
CODDOC1158,55,married,desconocido,no,23,no,no,13,123,2,-1,0,0
CODDOC1159,38,single,terciario,no,1373,no,no,22,119,4,-1,0,0
CODDOC1160,31,single,terciario,no,62,si,no,18,175,1,293,5,0
CODDOC1164,35,married,secundaria,no,977,si,no,4,52,4,91,1,0
CODDOC1167,32,single,terciario,no,5514,no,no,22,319,1,182,1,1
CODDOC1169,33,married,terciario,no,273,si,no,16,803,1,-1,0,1
CODDOC1170,37,married,secundaria,no,1193,no,no,12,396,2,-1,0,0
CODDOC1174,34,single,secundaria,no,2729,si,no,6,945,1,139,1,0
CODDOC1176,60,married,primaria,no,517,no,no,12,1178,3,-1,0,0
CODDOC1177,50,married,terciario,no,-470,si,no,8,506,2,170,3,0
CODDOC1178,28,single,terciario,no,4579,no,no,12,409,2,-1,0,1
CODDOC1181,31,married,terciario,no,636,si,no,4,352,4,-1,0,1
CODDOC1183,38,married,terciario,no,126,si,no,21,164,2,-1,0,0
CODDOC1185,37,married,secundaria,no,430,no,no,27,154,4,-1,0,0
CODDOC1186,33,married,secundaria,no,-6,si,no,7,566,2,-1,0,0
CODDOC1188,27,married,secundaria,no,130,si,no,7,265,3,-1,0,0
CODDOC1189,38,married,primaria,no,2569,no,no,9,172,1,-1,0,0
CODDOC1190,34,single,secundaria,no,201,no,no,22,257,2,-1,0,0
CODDOC1191,54,divorced,terciario,no,0,no,no,13,618,1,-1,0,1
CODDOC1193,35,single,secundaria,no,475,no,si,21,936,4,-1,0,0
CODDOC1195,36,married,secundaria,no,1825,si,no,14,24,1,346,1,0
CODDOC1197,72,married,primaria,no,4415,no,no,13,120,1,-1,0,0
CODDOC1199,53,divorced,secundaria,no,320,no,no,9,175,1,-1,0,0
CODDOC1200,35,single,terciario,no,2988,si,no,25,179,1,-1,0,0
CODDOC1202,40,married,secundaria,no,1270,no,no,17,342,2,-1,0,0
CODDOC1203,41,divorced,secundaria,no,654,si,no,13,139,2,-1,0,0
CODDOC1204,48,married,primaria,no,5173,si,no,18,88,8,-1,0,0
CODDOC1205,44,married,terciario,no,3463,si,si,28,210,3,-1,0,0
CODDOC1206,39,married,desconocido,no,0,no,no,2,731,1,193,3,0
CODDOC1211,60,divorced,secundaria,no,174,si,no,15,241,1,364,1,0
CODDOC1212,66,single,secundaria,no,10177,no,no,5,272,4,-1,0,0
CODDOC1214,49,married,secundaria,no,2576,si,no,15,64,6,-1,0,0
CODDOC1216,23,single,secundaria,no,598,no,no,30,166,1,-1,0,0
CODDOC1217,29,single,terciario,no,15459,no,no,26,245,3,97,7,0
CODDOC1219,54,married,desconocido,no,2508,no,no,20,34,8,-1,0,0
CODDOC1224,49,divorced,terciario,no,2370,si,si,17,56,1,103,2,0
CODDOC1230,27,single,primaria,no,-79,si,no,30,385,5,-1,0,0
CODDOC1232,37,divorced,secundaria,no,490,si,no,2,73,1,-1,0,0
CODDOC1234,37,married,secundaria,no,131,si,no,9,137,2,-1,0,0
CODDOC1235,35,married,terciario,no,8,si,no,23,55,4,-1,0,0
CODDOC1236,32,married,secundaria,no,-632,si,si,20,18,5,-1,0,0
CODDOC1238,35,married,primaria,no,189,si,no,11,95,1,-1,0,0
CODDOC1239,31,married,primaria,no,2,si,si,10,112,1,-1,0,0
CODDOC1249,33,married,secundaria,no,90,si,no,28,263,2,-1,0,0
CODDOC1250,60,married,primaria,no,493,no,no,18,671,4,-1,0,1
CODDOC1251,33,divorced,secundaria,no,1897,si,si,2,197,1,-1,0,0
CODDOC1252,44,married,secundaria,no,2403,si,no,28,180,2,-1,0,0
CODDOC1255,32,divorced,primaria,no,0,no,no,15,175,4,-1,0,0
CODDOC1256,33,married,secundaria,no,0,si,si,19,163,2,-1,0,0
CODDOC1261,33,single,secundaria,no,-56,no,si,10,119,5,-1,0,0
CODDOC1263,43,married,primaria,no,-98,si,si,12,112,2,330,3,0
CODDOC1267,54,married,desconocido,no,895,no,no,7,335,1,-1,0,1
CODDOC1269,30,married,secundaria,no,0,no,no,15,127,5,-1,0,0
CODDOC1270,27,single,secundaria,no,158,no,no,1,650,2,-1,0,1
CODDOC1272,30,married,secundaria,no,673,si,no,20,610,2,-1,0,0
CODDOC1273,35,divorced,secundaria,no,0,no,no,25,124,4,-1,0,0
CODDOC1274,33,divorced,secundaria,no,411,si,no,8,216,1,-1,0,0
CODDOC1275,43,divorced,primaria,no,-97,si,si,31,747,4,-1,0,0
CODDOC1276,41,married,secundaria,no,-217,si,no,11,313,1,349,3,0
CODDOC1277,41,divorced,terciario,no,5037,no,no,23,252,9,185,5,1
CODDOC1278,46,divorced,secundaria,no,2232,no,no,13,121,1,-1,0,1
CODDOC1280,32,married,terciario,no,913,si,no,23,883,1,674,4,0
CODDOC1281,30,single,terciario,no,236,si,no,16,197,1,-1,0,0
CODDOC1285,41,married,primaria,no,849,si,no,15,72,1,-1,0,0
CODDOC1286,54,married,secundaria,no,386,si,no,2,155,2,-1,0,0
CODDOC1289,42,married,secundaria,no,-921,si,no,26,115,2,-1,0,0
CODDOC1290,48,married,primaria,no,607,no,no,20,29,2,-1,0,0
CODDOC1294,46,divorced,terciario,no,743,no,no,5,36,2,-1,0,0
CODDOC1296,24,single,terciario,no,172,no,no,3,67,2,-1,0,0
CODDOC1297,58,married,secundaria,no,2,no,no,16,684,1,-1,0,0
CODDOC1298,32,single,terciario,no,41,no,no,21,686,5,-1,0,1
CODDOC1300,49,married,secundaria,no,-55,no,no,17,150,3,-1,0,0
CODDOC1302,30,single,terciario,no,329,si,no,6,122,16,-1,0,0
CODDOC1304,42,married,desconocido,no,1519,no,no,19,230,1,92,1,1
CODDOC1307,49,married,secundaria,no,5673,no,si,4,357,3,-1,0,0
CODDOC1308,41,married,secundaria,no,1459,no,no,5,82,1,-1,0,0
CODDOC1311,37,married,desconocido,no,0,no,no,18,115,1,-1,0,0
CODDOC1312,51,married,secundaria,no,867,si,no,3,177,2,211,3,0
CODDOC1313,80,married,secundaria,no,8304,no,no,9,712,1,64,12,1
CODDOC1315,48,married,primaria,si,-583,si,no,2,25,7,-1,0,0
CODDOC1317,30,married,terciario,no,3134,si,no,17,124,1,-1,0,0
CODDOC1318,27,single,secundaria,no,49,si,no,30,208,2,-1,0,0
CODDOC1319,34,married,secundaria,no,-346,no,no,13,136,4,-1,0,0
CODDOC1320,49,married,secundaria,no,1623,si,no,19,1081,2,-1,0,1
CODDOC1322,40,married,secundaria,no,17,no,no,4,78,1,-1,0,0
CODDOC1323,38,married,secundaria,no,2008,si,no,18,354,1,-1,0,0
CODDOC1324,46,married,primaria,no,91,si,no,6,29,1,356,2,0
CODDOC1330,34,single,secundaria,no,852,no,no,14,108,2,-1,0,0
CODDOC1334,31,single,secundaria,no,628,si,no,12,1083,2,-1,0,0
CODDOC1336,39,married,primaria,no,1564,no,no,17,57,1,-1,0,0
CODDOC1337,26,single,secundaria,no,856,si,si,30,95,5,-1,0,0
CODDOC1338,40,single,terciario,no,1509,no,no,15,144,2,124,1,0
CODDOC1339,52,married,secundaria,no,-888,no,no,16,135,1,-1,0,0
CODDOC1340,40,single,terciario,no,226,no,no,15,176,2,-1,0,0
CODDOC1341,48,married,secundaria,no,127,no,si,7,524,5,-1,0,0
CODDOC1342,31,married,secundaria,no,413,si,no,13,65,1,-1,0,0
CODDOC1344,47,married,secundaria,no,1233,si,no,11,91,1,100,2,1
CODDOC1345,28,single,secundaria,no,171,no,no,10,93,1,-1,0,1
CODDOC1346,40,divorced,terciario,no,69,si,no,6,503,2,280,2,0
CODDOC1348,29,married,terciario,no,751,si,no,23,121,2,-1,0,0
CODDOC1350,83,married,primaria,no,425,no,no,22,883,1,140,1,1
CODDOC1351,55,divorced,primaria,no,2923,si,no,15,104,2,-1,0,0
CODDOC1352,43,divorced,terciario,no,99,no,no,29,24,3,-1,0,0
CODDOC1354,44,married,terciario,no,1146,no,no,4,178,2,-1,0,0
CODDOC1357,30,single,terciario,no,604,no,si,2,475,1,-1,0,0
CODDOC1358,29,single,secundaria,no,-194,si,no,7,127,1,-1,0,0
CODDOC1362,27,single,terciario,no,73,no,no,29,242,1,-1,0,0
CODDOC1363,47,married,secundaria,no,2597,si,no,16,323,1,-1,0,0
CODDOC1364,53,married,terciario,no,2627,si,si,16,18,30,-1,0,0
CODDOC1365,34,married,terciario,no,1906,si,no,14,68,3,-1,0,0
CODDOC1368,40,married,secundaria,no,169,si,no,18,43,4,-1,0,0
CODDOC1371,53,divorced,secundaria,no,751,si,no,16,343,4,-1,0,0
CODDOC1372,28,single,secundaria,no,126,no,no,3,229,1,-1,0,0
CODDOC1373,33,divorced,terciario,no,-386,si,no,23,530,1,-1,0,0
CODDOC1374,56,married,primaria,no,379,no,no,13,58,5,-1,0,0
CODDOC1375,45,married,secundaria,no,706,no,no,30,78,2,176,1,0
CODDOC1376,39,married,secundaria,no,9121,no,no,5,147,1,-1,0,0
CODDOC1377,28,single,terciario,no,1466,si,no,25,40,1,-1,0,0
CODDOC1379,41,married,primaria,no,951,si,no,20,23,4,-1,0,0
CODDOC1381,41,married,secundaria,no,121,si,no,13,16,6,176,5,0
CODDOC1383,24,married,secundaria,no,299,si,no,6,209,1,321,1,0
CODDOC1384,34,married,terciario,no,4170,si,no,21,935,1,-1,0,0
CODDOC1385,40,married,primaria,no,-335,si,no,27,260,1,-1,0,0
CODDOC1386,42,married,secundaria,no,3165,si,no,16,298,4,-1,0,0
CODDOC1388,25,single,terciario,no,553,si,no,17,113,4,479,1,0
CODDOC1393,52,married,secundaria,no,-98,si,no,7,423,1,-1,0,0
CODDOC1394,55,married,primaria,no,4424,no,no,5,67,4,-1,0,0
CODDOC1398,31,married,secundaria,no,631,si,no,23,248,4,-1,0,0
CODDOC1399,34,single,secundaria,no,341,no,si,29,136,1,262,3,0
CODDOC1402,44,married,desconocido,no,415,si,no,14,7,7,-1,0,0
CODDOC1405,50,married,terciario,no,0,no,no,9,243,5,-1,0,0
CODDOC1410,31,married,secundaria,no,0,si,no,5,143,1,-1,0,0
CODDOC1412,35,single,secundaria,no,0,si,no,16,1174,1,345,4,1
CODDOC1414,42,married,primaria,no,1520,si,no,5,115,1,-1,0,0
CODDOC1416,75,divorced,primaria,no,852,no,no,15,341,1,-1,0,0
CODDOC1419,38,single,secundaria,no,2253,si,no,13,937,3,-1,0,1
CODDOC1420,34,single,terciario,no,1171,si,no,10,129,1,-1,0,0
CODDOC1421,29,single,terciario,no,452,si,no,11,59,1,-1,0,0
CODDOC1422,28,married,secundaria,no,-97,si,no,29,79,1,225,2,0
CODDOC1423,79,married,secundaria,no,4738,no,no,9,151,5,-1,0,0
CODDOC1424,51,divorced,secundaria,no,467,si,no,19,83,1,-1,0,0
CODDOC1427,38,married,secundaria,no,157,no,si,15,57,11,366,1,0
CODDOC1430,43,married,primaria,no,7343,si,no,2,217,4,-1,0,0
CODDOC1431,34,married,secundaria,no,-563,si,no,26,252,1,-1,0,0
CODDOC1433,35,married,primaria,no,365,no,no,29,41,2,-1,0,0
CODDOC1435,34,single,secundaria,no,846,si,no,17,758,2,-1,0,0
CODDOC1437,34,married,terciario,no,-28,si,no,16,574,1,-1,0,0
CODDOC1438,77,married,terciario,no,0,no,no,16,847,1,60,1,1
CODDOC1440,30,married,secundaria,no,501,si,si,27,514,1,-1,0,0
CODDOC1441,56,divorced,primaria,si,1238,no,no,5,1558,1,-1,0,1
CODDOC1442,49,married,desconocido,no,301,no,no,14,789,2,-1,0,0
CODDOC1444,39,single,secundaria,no,102,si,no,14,272,2,-1,0,0
CODDOC1445,57,divorced,primaria,no,13,si,no,8,323,2,368,2,0
CODDOC1447,32,single,terciario,no,4665,si,no,21,860,2,-1,0,1
CODDOC1448,45,married,secundaria,no,638,si,no,20,75,9,-1,0,0
CODDOC1449,32,married,secundaria,no,101,si,no,19,191,4,-1,0,0
CODDOC1451,49,married,secundaria,no,1103,no,no,12,428,2,-1,0,0
CODDOC1452,29,married,secundaria,no,3748,no,no,28,322,3,-1,0,0
